1766220563, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220563, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220563, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220563, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220564, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220564, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220565, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220566, 2 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220566, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220567, 3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220567, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220567, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220568, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220568, 3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220568, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220568, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220569, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220569, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220569, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220569, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220569, 3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220570, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220570, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220570, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220570, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220571, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220571, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220571, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220571, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220571, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220572, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220572, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220572, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220572, 3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220573, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220573, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220573, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220573, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220574, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220574, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220574, 3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220574, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220574, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220575, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220575, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
